Paper_Name,Year,Citation_Number,Type
Deformable Registration of Feature-Endowed Point Sets Based on Tensor Fields,2014,4,Oral
Tracking Indistinguishable Translucent Objects over Time Using Weakly Supervised Structured Learning,2014,30,Oral
Scale-Space Processing Using Polynomial Representations,2014,19,Oral
Single Image Layer Separation Using Relative Smoothness,2014,344,Oral
Image Fusion with Local Spectral Consistency and Dynamic Gradient Sparsity,2014,143,Oral
Segmentation-Free Dynamic Scene Deblurring,2014,207,Oral
Shrinkage Fields for Effective Image Restoration,2014,586,Oral
Camouflaging an Object from Many Viewpoints,2014,29,Oral
Learning Optimal Seeds for Diffusion-Based Salient Object Detection,2014,157,Poster
Large-Scale Optimization of Hierarchical Features for Saliency Prediction in Natural Images,2014,471,Poster
Saliency Detection on Light Field,2014,467,Poster
Saliency Optimization from Robust Background Detection,2014,1463,Poster
A Reverse Hierarchy Model for Predicting Eye Fixations,2014,13,Poster
100+ Times Faster Weighted Median Filter (WMF),2014,261,Poster
Edge-Aware Gradient Domain Optimization Framework for Image Filtering by Local Propagation,2014,39,Poster
Super-resolving Noisy Images,2014,98,Poster
Sparse Dictionary Learning for Edit Propagation of High-Resolution Images,2014,50,Poster
Weighted Nuclear Norm Minimization with Application to Image Denoising,2014,2019,Poster
Using Projection Kurtosis Concentration of Natural Images for Blind Noise Covariance Matrix Estimation,2014,2,Poster
Blind Image Quality Assessment Using Semi-supervised Rectifier Networks,2014,116,Poster
Separable Kernel for Image Deblurring,2014,21,Poster
Joint Depth Estimation and Camera Shake Removal from Single Blurry Image,2014,96,Poster
Deblurring Text Images via L0-Regularized Intensity and Gradient Prior,2014,459,Poster
Total Variation Blind Deconvolution: The Devil Is in the Details,2014,304,Poster
Single Image Super-resolution Using Deformable Patches,2014,143,Poster
"Multi-shot Imaging: Joint Alignment, Deblurring, and Resolution-Enhancement",2014,53,Poster
CID: Combined Image Denoising in Spatial and Frequency Domains Using Web Images,2014,46,Poster
Multipoint Filtering with Local Polynomial Approximation and Range Guidance,2014,36,Poster
Decomposable Nonlocal Tensor Dictionary Learning for Multispectral Image Denoising,2014,328,Poster
Robust 3D Features for Matching between Distorted Range Scans Captured by Moving Systems,2014,4,Poster
Discriminative Blur Detection Features,2014,266,Poster
"Rectification, and Segmentation of Coplanar Repeated Patterns",2014,44,Poster
Mirror Symmetry Histograms for Capturing Geometric Properties in Images,2014,23,Poster
A Learning-to-Rank Approach for Image Color Enhancement,2014,85,Poster
Investigating Haze-Relevant Features in a Learning Framework for Image Dehazing,2014,634,Poster
Quality Assessment for Comparing Image Enhancement Algorithms,2014,112,Poster
Shadow Removal from Single RGB-D Images,2014,32,Poster
Manifold Based Dynamic Texture Synthesis from Extremely Few Samples,2014,13,Poster
The Synthesizability of Texture Examples,2014,48,Poster
Reconstructing Evolving Tree Structures in Time Lapse Sequences,2014,15,Poster
